date_in,date_out,shares,entry,exit,pnl
2025-07-21,2025-07-23,0,627.0316162109375,627.3606646093982,24.43259484804571
2025-07-24,2025-07-28,0,632.6659545898438,633.3341702599237,23.83330970976772
2025-08-28,2025-09-02,0,647.1258544921875,645.6798938838932,-99.42438039458011
2025-09-18,2025-09-22,0,660.4290161132812,662.3300170898438,-1.300048828125
2025-07-28,2025-07-30,0,635.1790161132812,636.5850848856694,-24.232888553732437
2025-09-24,2025-09-26,0,661.0999755859375,657.9400024414062,15.7000732421875
